,dateTime,symbol,change
223,2022-05-03 10:30:00-04:00,GOOG,-0.3938317742546985%
224,2022-05-03 11:30:00-04:00,GOOG,0.03241054730049119%
225,2022-05-03 12:30:00-04:00,GOOG,-0.3764090669582163%
226,2022-05-03 13:30:00-04:00,GOOG,-0.08389261744966443%
227,2022-05-03 14:30:00-04:00,GOOG,0.36002044805637046%
228,2022-05-03 15:30:00-04:00,GOOG,0.13501924599329773%
229,2022-05-04 09:30:00-04:00,GOOG,0.5374446141036614%
230,2022-05-04 10:30:00-04:00,GOOG,1.2081727312747184%
231,2022-05-04 11:30:00-04:00,GOOG,-0.8993157728066836%
232,2022-05-04 12:30:00-04:00,GOOG,-0.9138069641000036%
233,2022-05-04 13:30:00-04:00,GOOG,-0.8503913506340113%
234,2022-05-04 14:30:00-04:00,GOOG,-1.8181219679877803%
235,2022-05-04 15:30:00-04:00,GOOG,-0.9718561485545821%
236,2022-05-05 09:30:00-04:00,GOOG,1.550841976134716%
237,2022-05-05 10:30:00-04:00,GOOG,3.1280597311887073%
238,2022-05-05 11:30:00-04:00,GOOG,-0.1358103776964976%
239,2022-05-05 12:30:00-04:00,GOOG,-0.04652353845037588%
240,2022-05-05 13:30:00-04:00,GOOG,0.2611141055257065%
241,2022-05-05 14:30:00-04:00,GOOG,0.5220558343635195%
242,2022-05-05 15:30:00-04:00,GOOG,-0.25281915791362547%
243,2022-05-06 09:30:00-04:00,GOOG,0.026066170522822292%
244,2022-05-06 10:30:00-04:00,GOOG,-0.42606712406517094%
245,2022-05-06 11:30:00-04:00,GOOG,0.14936402632305912%
246,2022-05-06 12:30:00-04:00,GOOG,-0.09035386168076495%
247,2022-05-06 13:30:00-04:00,GOOG,0.33445657407692314%
248,2022-05-06 14:30:00-04:00,GOOG,0.8644803032246826%
249,2022-05-06 15:30:00-04:00,GOOG,-0.060759241164948775%
250,2022-05-09 09:30:00-04:00,GOOG,1.4973867835788268%
251,2022-05-09 10:30:00-04:00,GOOG,0.04949780067298649%
252,2022-05-09 11:30:00-04:00,GOOG,-1.104901865294182%
253,2022-05-09 12:30:00-04:00,GOOG,0.2032658375544383%
254,2022-05-09 13:30:00-04:00,GOOG,0.6828350270489972%
255,2022-05-09 14:30:00-04:00,GOOG,-0.10519912379179802%
256,2022-05-09 15:30:00-04:00,GOOG,0.9144334591110068%
257,2022-05-10 09:30:00-04:00,GOOG,-2.677085625481351%
258,2022-05-10 10:30:00-04:00,GOOG,0.698649351171207%
259,2022-05-10 11:30:00-04:00,GOOG,0.36516030138897276%
260,2022-05-10 12:30:00-04:00,GOOG,0.14599869548832936%
261,2022-05-10 13:30:00-04:00,GOOG,-1.199990467187264%
262,2022-05-10 14:30:00-04:00,GOOG,-0.05191343393026456%
263,2022-05-10 15:30:00-04:00,GOOG,1.060493066091368%
264,2022-05-11 09:30:00-04:00,GOOG,-1.0545307329251337%
265,2022-05-11 10:30:00-04:00,GOOG,0.5335495362476783%
266,2022-05-11 11:30:00-04:00,GOOG,-0.13055012926156342%
267,2022-05-11 12:30:00-04:00,GOOG,0.7650615015867039%
268,2022-05-11 13:30:00-04:00,GOOG,-0.47003703152046034%
